Level,Department,WhyGO ID,WhyGO Owner,Why Statement,Goal Statement,Status,Approved By,Outcome Description,Outcome Owner,Annual Target,Q1 Target,Q2 Target,Q3 Target,Q4 Target,Unit
Company,,cg_26_05hd,Kevin Reilly,"As we scale client engagements, operational consistency becomes critical. Clients are buying infrastructure, not one-off projects - they expect a premier experience with predictable quality, on-time delivery, and healthy margins. Strong operations also create the data foundation for continuous improvement and demonstrates the maturity acquirers and investors expect.","Establish operational infrastructure that delivers premier client experience with 50% production margin, 90%+ on-time delivery, and world-class client satisfaction.",active,[],Production Margin,Luke,50,40,45,48,50,percentage
Company,,cg_26_05hd,Kevin Reilly,"As we scale client engagements, operational consistency becomes critical. Clients are buying infrastructure, not one-off projects - they expect a premier experience with predictable quality, on-time delivery, and healthy margins. Strong operations also create the data foundation for continuous improvement and demonstrates the maturity acquirers and investors expect.","Establish operational infrastructure that delivers premier client experience with 50% production margin, 90%+ on-time delivery, and world-class client satisfaction.",active,[],On-Time Delivery Rate,Wayan,90,80,85,90,90,percentage
Company,,cg_26_05hd,Kevin Reilly,"As we scale client engagements, operational consistency becomes critical. Clients are buying infrastructure, not one-off projects - they expect a premier experience with predictable quality, on-time delivery, and healthy margins. Strong operations also create the data foundation for continuous improvement and demonstrates the maturity acquirers and investors expect.","Establish operational infrastructure that delivers premier client experience with 50% production margin, 90%+ on-time delivery, and world-class client satisfaction.",active,[],Client NPS Score*,Ben,50,Baseline,40,45,50,count
Company,,cg_26_67ih,Kevin Reilly,"Current operations rely on manual coordination. To scale beyond early clients without linear headcount growth, we need platform infrastructure across three pillars: client-facing portal, internal production management, and generative tooling layer. This platform is critical IP that demonstrates enterprise readiness and creates switching costs.","Deploy the three-pillar Enterprise Platform (Client Portal, Production Management, Generative Platform) to support 10+ concurrent client engagements.",active,[],"Client Portal: Job requests, data upload, asset delivery, admin",Niels,Live,Spec,MVP,v1.0,Iterate,text
Company,,cg_26_67ih,Kevin Reilly,"Current operations rely on manual coordination. To scale beyond early clients without linear headcount growth, we need platform infrastructure across three pillars: client-facing portal, internal production management, and generative tooling layer. This platform is critical IP that demonstrates enterprise readiness and creates switching costs.","Deploy the three-pillar Enterprise Platform (Client Portal, Production Management, Generative Platform) to support 10+ concurrent client engagements.",active,[],"Production Management: Jobs, milestones, resources, expense tracking",Niels,Live,Spec,MVP,v1.0,Iterate,text
Company,,cg_26_67ih,Kevin Reilly,"Current operations rely on manual coordination. To scale beyond early clients without linear headcount growth, we need platform infrastructure across three pillars: client-facing portal, internal production management, and generative tooling layer. This platform is critical IP that demonstrates enterprise readiness and creates switching costs.","Deploy the three-pillar Enterprise Platform (Client Portal, Production Management, Generative Platform) to support 10+ concurrent client engagements.",active,[],"Generative Platform: Workflows, LoRA training, client data, media gen",Fill,Live,MVP,v1.0,v1.5,v2.0,text
Company,,cg_26_6bk0,Kevin Reilly,"Enterprise clients require custom AI models and workflows to achieve 100% brand accuracy - generic tools only deliver 70%. Proving our Creative Intelligence Infrastructure works across multiple verticals demonstrates market demand, validates our thesis, and creates referenceable case studies for growth. Client count, vertical diversity, and revenue all matter at this stage.","Onboard 10 enterprise clients across 5 key verticals by end of Q2 2026, close $7M in revenue, and establish Kartel as the category leader in Creative Intelligence Infrastructure.",active,[],Enterprise clients signed (total),Ben,10,4,10,14,18,count
Company,,cg_26_6bk0,Kevin Reilly,"Enterprise clients require custom AI models and workflows to achieve 100% brand accuracy - generic tools only deliver 70%. Proving our Creative Intelligence Infrastructure works across multiple verticals demonstrates market demand, validates our thesis, and creates referenceable case studies for growth. Client count, vertical diversity, and revenue all matter at this stage.","Onboard 10 enterprise clients across 5 key verticals by end of Q2 2026, close $7M in revenue, and establish Kartel as the category leader in Creative Intelligence Infrastructure.",active,[],"Verticals with 2+ clients (CPG, Auto, Beauty/Fashion, eComm, Real Estate)",Kevin,5,2,5,5,5,count
Company,,cg_26_6bk0,Kevin Reilly,"Enterprise clients require custom AI models and workflows to achieve 100% brand accuracy - generic tools only deliver 70%. Proving our Creative Intelligence Infrastructure works across multiple verticals demonstrates market demand, validates our thesis, and creates referenceable case studies for growth. Client count, vertical diversity, and revenue all matter at this stage.","Onboard 10 enterprise clients across 5 key verticals by end of Q2 2026, close $7M in revenue, and establish Kartel as the category leader in Creative Intelligence Infrastructure.",active,[],Revenue closed,Ben,7,1.5,3.5,5.5,7,USD
Company,,cg_26_6bk0,Kevin Reilly,"Enterprise clients require custom AI models and workflows to achieve 100% brand accuracy - generic tools only deliver 70%. Proving our Creative Intelligence Infrastructure works across multiple verticals demonstrates market demand, validates our thesis, and creates referenceable case studies for growth. Client count, vertical diversity, and revenue all matter at this stage.","Onboard 10 enterprise clients across 5 key verticals by end of Q2 2026, close $7M in revenue, and establish Kartel as the category leader in Creative Intelligence Infrastructure.",active,[],Client case studies published*,Ben*,5,1,3,4,5,count
Company,,cg_26_9xv7,Kevin Reilly,"Kartel's ability to scale is constrained by access to creative engineering talent - a skillset that barely exists in the market. By building a community and training pipeline, we create a sustainable talent moat: a roster of pre-vetted, Kartel-trained engineers ready to deploy on client work. This is cheaper than full-time hiring, faster than recruiting, and builds brand equity in the generative AI community.","Build Discord community to 1,000 members with a 5-tier talent pipeline, culminating in 20 approved Kartel Talent actively working on client engagements.",active,[],Discord Community Members,Daniel,1000,300,500,750,1000,text
Company,,cg_26_9xv7,Kevin Reilly,"Kartel's ability to scale is constrained by access to creative engineering talent - a skillset that barely exists in the market. By building a community and training pipeline, we create a sustainable talent moat: a roster of pre-vetted, Kartel-trained engineers ready to deploy on client work. This is cheaper than full-time hiring, faster than recruiting, and builds brand equity in the generative AI community.","Build Discord community to 1,000 members with a 5-tier talent pipeline, culminating in 20 approved Kartel Talent actively working on client engagements.",active,[],Tier 5: Approved Kartel Talent (deployed on client work),Fill,20,5,10,15,20,count
Company,,cg_26_9xv7,Kevin Reilly,"Kartel's ability to scale is constrained by access to creative engineering talent - a skillset that barely exists in the market. By building a community and training pipeline, we create a sustainable talent moat: a roster of pre-vetted, Kartel-trained engineers ready to deploy on client work. This is cheaper than full-time hiring, faster than recruiting, and builds brand equity in the generative AI community.","Build Discord community to 1,000 members with a 5-tier talent pipeline, culminating in 20 approved Kartel Talent actively working on client engagements.",active,[],"Roles covered (Workflow Eng, AI Generalist, Data Spec, Training Spec, Preditor)",Daniel,5,3,4,5,5,text
Company,,cg_26_gfq3,Kevin Reilly,"Kartel's ability to scale is constrained by access to creative engineering talent - a skillset that barely exists in the market. By building a community and training pipeline, we create a sustainable talent moat: a roster of pre-vetted, Kartel-trained engineers ready to deploy on client work. This is cheaper than full-time hiring, faster than recruiting, and builds brand equity in the generative AI community.","Build Discord community to 1,000 members with a 5-tier talent pipeline, culminating in 20 approved Kartel Talent actively working on client engagements.",active,[],Discord Community Members,Daniel,1000,300,500,750,1000,text
